diaj, diames, mes, estacion
1,1,1,4
17,17,1,4
33,2,2,4
49,18,2,4
65,5,3,4
81,21,3,1
97,6,4,1
113,22,4,1
129,8,5,1
145,24,5,1
161,9,6,1
177,25,6,2
193,11,7,2
209,27,7,2
225,12,8,2
241,28,8,2
257,13,9,2
273,29,9,3
289,15,10,3
305,31,10,3
321,16,11,3
337,2,12,3
353,18,12,3
